date,home_team,away_team,odds_1,odds_x,odds_2
2026-06-14,Haiti,Scotland,6.25,4.41,1.66
2026-06-14,Australia,Turkey,5.66,3.8,1.8
2026-06-15,Germany,Curaçao,1.06,24.0,75.48
2026-06-15,Netherlands,Japan,2.1,3.61,4.11
2026-06-15,Sweden,Tunisia,2.06,3.5,4.64
2026-06-16,Spain,Cape Verde,1.1,14.0,31.0
2026-06-16,Belgium,Egypt,1.67,4.1,5.8
2026-06-16,Saudi Arabia,Uruguay,7.9,4.32,1.5
2026-06-16,Iran,New Zealand,1.97,3.43,4.5
2026-06-17,France,Senegal,1.5,4.55,7.32
2026-06-17,Iraq,Norway,17.5,7.53,1.23
2026-06-17,Argentina,Algeria,1.42,4.75,9.6
2026-06-17,Austria,Jordan,1.37,5.5,10.0
2026-06-18,Portugal,DR Congo,1.33,5.9,12.5
2026-06-18,England,Croatia,1.77,4.11,5.35
2026-06-18,Ghana,Panama,2.25,3.57,3.6
2026-06-18,Uzbekistan,Colombia,9.9,4.78,1.42
2026-06-19,Czech Republic,South Africa,1.81,3.97,4.8
2026-06-19,Switzerland,Bosnia and Herzegovina,1.65,4.27,6.5
2026-06-19,Canada,Qatar,1.3,5.9,12.5
2026-06-19,Mexico,South Korea,2.1,3.43,4.33
2026-06-20,United States,Australia,1.7,4.59,5.75
2026-06-20,Scotland,Morocco,5.55,3.73,1.82
2026-06-20,Brazil,Haiti,1.13,11.85,30.0
2026-06-20,Turkey,Paraguay,2.1,3.41,4.0
2026-06-21,Netherlands,Sweden,1.66,4.26,5.48
2026-06-21,Germany,Ivory Coast,1.6,4.61,6.0
2026-06-21,Ecuador,Curaçao,1.16,9.48,22.0
2026-06-21,Tunisia,Japan,5.95,3.8,1.71
2026-06-22,Spain,Saudi Arabia,1.13,11.0,37.0
2026-06-22,Belgium,Iran,1.47,4.9,8.5
2026-06-22,Uruguay,Cape Verde,1.48,4.68,8.5
2026-06-22,New Zealand,Egypt,5.0,4.1,1.8
2026-06-23,Argentina,Austria,1.7,3.98,5.95
2026-06-23,France,Iraq,1.15,9.5,35.0
2026-06-23,Norway,Senegal,2.25,3.6,3.5
2026-06-23,Jordan,Algeria,7.5,4.4,1.57
2026-06-24,Portugal,Uzbekistan,1.28,6.7,14.0
2026-06-24,England,Ghana,1.35,5.6,11.0
2026-06-24,Panama,Croatia,6.74,4.25,1.59
2026-06-24,Colombia,DR Congo,1.49,4.56,8.3
2026-06-25,Bosnia and Herzegovina,Qatar,1.61,4.03,6.2
2026-06-25,Switzerland,Canada,2.18,3.46,3.6
2026-06-25,Scotland,Brazil,7.9,5.49,1.44
2026-06-25,Morocco,Haiti,1.33,5.54,11.0
2026-06-25,Czech Republic,Mexico,4.75,3.65,1.85
2026-06-25,South Africa,South Korea,5.63,4.0,1.64
2026-06-26,Curaçao,Ivory Coast,17.0,7.9,1.18
2026-06-26,Ecuador,Germany,5.0,3.9,1.81
2026-06-26,Japan,Sweden,2.1,3.45,3.75
2026-06-26,Tunisia,Netherlands,8.3,4.6,1.5
2026-06-26,Paraguay,Australia,2.17,3.45,3.59
2026-06-26,Turkey,United States,2.96,3.77,2.42
2026-06-27,Norway,France,4.7,3.7,1.88
2026-06-27,Senegal,Iraq,1.44,4.83,8.5
2026-06-27,Cape Verde,Saudi Arabia,2.53,4.27,2.75
2026-06-27,Uruguay,Spain,5.36,4.03,1.68
2026-06-27,New Zealand,Belgium,12.0,6.0,1.33
2026-06-27,Egypt,Iran,2.3,3.13,3.69
2026-06-28,Croatia,Ghana,1.68,3.92,5.95
2026-06-28,Panama,England,13.0,7.43,1.3
2026-06-28,Colombia,Portugal,3.65,3.45,2.17
2026-06-28,DR Congo,Uzbekistan,2.32,3.52,3.1
2026-06-28,Algeria,Austria,3.88,3.2,2.26
2026-06-28,Jordan,Argentina,17.5,7.76,1.2
